Survey,ID,Quest,CHOICE,TT1,CONG1,VAR1,TC1,TT2,CONG2,VAR2,TC2,TT3,CONG3,VAR3,TC3,AV1,AV2,AV3,age,edu,edufin,sex,E1,E2,E3,E4,E5,E6,E7
1,1337,1,2,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,53,4,4,2,4,4,5,3,3,2,2
1,1337,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,53,4,4,2,4,4,5,3,3,2,2
1,1337,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,53,4,4,2,4,4,5,3,3,2,2
1,1337,4,1,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,53,4,4,2,4,4,5,3,3,2,2
1,1337,5,2,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,53,4,4,2,4,4,5,3,3,2,2
1,1337,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,53,4,4,2,4,4,5,3,3,2,2
1,1337,7,3,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,53,4,4,2,4,4,5,3,3,2,2
1,1337,8,1,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,53,4,4,2,4,4,5,3,3,2,2
1,1337,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,53,4,4,2,4,4,5,3,3,2,2
2,1338,1,3,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,52,4,4,1,2,5,4,2,3,2,5
2,1338,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,52,4,4,1,2,5,4,2,3,2,5
2,1338,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,52,4,4,1,2,5,4,2,3,2,5
2,1338,4,2,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,52,4,4,1,2,5,4,2,3,2,5
2,1338,5,2,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,52,4,4,1,2,5,4,2,3,2,5
2,1338,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,52,4,4,1,2,5,4,2,3,2,5
2,1338,7,1,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,52,4,4,1,2,5,4,2,3,2,5
2,1338,8,1,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,52,4,4,1,2,5,4,2,3,2,5
2,1338,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,52,4,4,1,2,5,4,2,3,2,5
2,2508,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,39,4,4,1,1,4,5,1,1,1,2
2,2508,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,39,4,4,1,1,4,5,1,1,1,2
2,2508,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,39,4,4,1,1,4,5,1,1,1,2
2,2508,4,3,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,39,4,4,1,1,4,5,1,1,1,2
2,2508,5,1,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,39,4,4,1,1,4,5,1,1,1,2
2,2508,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,39,4,4,1,1,4,5,1,1,1,2
2,2508,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,39,4,4,1,1,4,5,1,1,1,2
2,2508,8,3,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,39,4,4,1,1,4,5,1,1,1,2
2,2508,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,39,4,4,1,1,4,5,1,1,1,2
2,2509,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,46,6,6,1,3,5,3,1,2,5,5
2,2509,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,46,6,6,1,3,5,3,1,2,5,5
2,2509,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,46,6,6,1,3,5,3,1,2,5,5
2,2509,4,1,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,46,6,6,1,3,5,3,1,2,5,5
2,2509,5,2,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,46,6,6,1,3,5,3,1,2,5,5
2,2509,6,1,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,46,6,6,1,3,5,3,1,2,5,5
2,2509,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,46,6,6,1,3,5,3,1,2,5,5
2,2509,8,1,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,46,6,6,1,3,5,3,1,2,5,5
2,2509,9,3,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,46,6,6,1,3,5,3,1,2,5,5
1,1346,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,47,7,7,2,3,5,4,1,2,2,3
1,1346,2,2,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,47,7,7,2,3,5,4,1,2,2,3
1,1346,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,47,7,7,2,3,5,4,1,2,2,3
1,1346,4,3,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,47,7,7,2,3,5,4,1,2,2,3
1,1346,5,1,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,47,7,7,2,3,5,4,1,2,2,3
1,1346,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,47,7,7,2,3,5,4,1,2,2,3
1,1346,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,47,7,7,2,3,5,4,1,2,2,3
1,1346,8,3,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,47,7,7,2,3,5,4,1,2,2,3
1,1346,9,1,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,47,7,7,2,3,5,4,1,2,2,3
1,1347,1,1,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,58,4,4,1,2,5,4,1,2,3,5
1,1347,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,58,4,4,1,2,5,4,1,2,3,5
1,1347,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,58,4,4,1,2,5,4,1,2,3,5
1,1347,4,3,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,58,4,4,1,2,5,4,1,2,3,5
1,1347,5,2,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,58,4,4,1,2,5,4,1,2,3,5
1,1347,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,58,4,4,1,2,5,4,1,2,3,5
1,1347,7,1,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,58,4,4,1,2,5,4,1,2,3,5
1,1347,8,1,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,58,4,4,1,2,5,4,1,2,3,5
1,1347,9,3,45,25,25,5.5,60,40,5,12.5,75,10,15,9.0,1,1,1,58,4,4,1,2,5,4,1,2,3,5
2,1348,1,2,45,10,5,12.5,60,25,15,9.0,75,40,25,5.5,1,1,1,41,7,6,2,4,4,3,2,3,2,2
2,1348,2,3,75,25,15,12.5,45,40,25,9.0,60,10,5,5.5,1,1,1,41,7,6,2,4,4,3,2,3,2,2
2,1348,3,3,60,40,25,12.5,75,10,5,9.0,45,25,15,5.5,1,1,1,41,7,6,2,4,4,3,2,3,2,2
2,1348,4,1,60,25,5,9.0,75,40,15,5.5,45,10,25,12.5,1,1,1,41,7,6,2,4,4,3,2,3,2,2
2,1348,5,2,45,40,15,9.0,60,10,25,5.5,75,25,5,12.5,1,1,1,41,7,6,2,4,4,3,2,3,2,2
2,1348,6,2,75,10,25,9.0,45,25,5,5.5,60,40,15,12.5,1,1,1,41,7,6,2,4,4,3,2,3,2,2
2,1348,7,2,75,40,5,5.5,45,10,15,12.5,60,25,25,9.0,1,1,1,41,7,6,2,4,4,3,2,3,2,2
2,1348,8,1,60,10,15,5.5,75,25,25,12.5,45,40,5,9.0,1,1,1,41,7,6,2,4,4,3,2,3,2,2
